#cliente,Gama_Productos,rango_precio,Facturacion,Margen_Bruto,Facturacion_s_#Producto,Margen_s_#Producto,Margen_s_Facturacion
C_1,3,2,2302,243,767,81,11
C_10,3,4,2700,214,900,71,8
C_100,88,4,126873,73973,1442,841,58
C_1000,30,4,55172,11428,1839,381,21
C_1001,26,4,12893,2660,496,102,21
C_1002,1,2,702,213,702,213,30
C_1003,1,2,390,148,390,148,38
C_1004,40,4,12893,4498,322,112,35
C_1005,51,4,15156,2376,297,47,16
C_1006,13,4,13265,3601,1020,277,27
C_1007,12,4,5203,410,434,34,8
C_1008,46,4,10070,1651,219,36,16
C_1009,115,4,531098,50678,4618,441,10
C_101,22,4,3324,803,151,36,24
C_1010,40,4,26590,7371,665,184,28
C_1011,213,4,171062,27834,803,131,16
C_1012,15,4,10728,1182,715,79,11
C_1013,70,4,249929,34077,3570,487,14
C_1014,60,4,36696,7743,612,129,21
C_1015,9,4,3388,412,376,46,12
C_1016,135,4,170048,38327,1260,284,23
C_1017,9,4,5402,1233,600,137,23
C_1018,3,4,2080,747,693,249,36
C_1019,46,4,20551,2603,447,57,13
C_102,79,4,114785,21506,1453,272,19
C_1020,22,4,23565,3364,1071,153,14
C_1021,6,2,2324,375,387,63,16
C_1022,4,4,17430,2391,4358,598,14
C_1023,30,4,27356,5628,912,188,21
C_1024,19,4,4451,1295,234,68,29
C_1025,29,2,15767,2373,544,82,15
C_1026,5,2,1407,379,281,76,27
C_1027,23,4,7328,1644,319,71,22
C_1028,11,4,8899,822,809,75,9
C_1029,16,2,3022,879,189,55,29
C_103,8,4,39694,12158,4962,1520,31
C_1030,7,4,6978,1607,997,230,23
C_1031,2,4,375,55,188,27,15
C_1032,24,4,14387,3993,599,166,28
C_1033,57,4,29014,8136,509,143,28
C_1034,28,4,68323,5590,2440,200,8
C_1035,23,4,24391,4317,1060,188,18
C_1036,1,2,4400,1157,4400,1157,26
C_1037,2,4,687,80,343,40,12
C_1038,58,4,57540,7638,992,132,13
C_1039,7,2,4060,1485,580,212,37
C_104,43,4,17153,1407,399,33,8
C_1040,2,2,2280,579,1140,290,25
C_1041,1,2,240,60,240,60,25
C_1042,25,4,20298,5582,812,223,27
C_1043,2,4,860,118,430,59,14
C_1044,14,4,7791,1228,556,88,16
C_1045,109,4,48248,10665,443,98,22
C_1046,14,4,16073,2567,1148,183,16
C_1047,1,2,996,249,996,249,25
C_1048,12,2,7574,3143,631,262,41
C_1049,20,4,9795,3699,490,185,38
C_105,36,4,18259,2363,507,66,13
C_1050,15,4,57678,6846,3845,456,12
C_1051,5,2,1607,257,321,51,16
C_1052,33,4,27621,5769,837,175,21
C_1053,10,4,4955,1244,495,124,25
C_1054,18,4,38542,4123,2141,229,11
C_1055,10,2,5360,2328,536,233,43
C_1056,3,4,2150,492,717,164,23
C_1057,3,4,2150,492,717,164,23
C_1058,3,4,3240,779,1080,260,24
C_1059,3,4,2150,492,717,164,23
C_106,188,4,202467,67823,1077,361,33
C_1060,4,4,2420,554,605,139,23
C_1061,16,4,5311,1664,332,104,31
C_1062,8,2,32633,6450,4079,806,20
C_1063,16,4,20078,10119,1255,632,50
C_1064,8,4,541,139,68,17,26
C_1065,59,4,59520,19298,1009,327,32
C_1066,1,2,1160,778,1160,778,67
C_1067,1,2,4050,14,4050,14,0
C_1068,9,2,9108,2172,1012,241,24
C_1069,7,2,5504,1260,786,180,23
C_107,39,2,18408,2862,472,73,16
C_1070,40,4,140609,13328,3515,333,9
C_1071,73,4,24062,6065,330,83,25
C_1072,21,4,18905,4101,900,195,22
C_1073,1,2,281,91,281,91,33
C_1074,2,4,40200,5176,20100,2588,13
C_1075,14,4,9492,947,678,68,10
C_1076,19,2,5202,921,274,48,18
C_1077,2,2,990,235,495,118,24
C_1078,66,4,33128,5600,502,85,17
C_1079,15,4,9338,2374,623,158,25
C_108,47,2,90784,27522,1932,586,30
C_1080,16,4,6294,1916,393,120,30
C_1081,5,2,2320,655,464,131,28
C_1082,24,2,7009,894,292,37,13
C_1083,23,4,24995,7105,1087,309,28
C_1084,1,2,1440,432,1440,432,30
C_1085,7,2,2655,329,379,47,12
C_1086,5,2,2829,500,566,100,18
C_1087,14,4,2353,252,168,18,11
C_1088,8,4,5693,1698,712,212,30
C_1089,1,2,450,2,450,2,0
C_109,36,2,12737,2190,354,61,17
C_1090,48,4,11499,1806,240,38,16
C_1091,29,4,55730,8413,1922,290,15
C_1092,17,4,19002,3715,1118,219,20
C_1093,36,2,34180,8212,949,228,24
C_1094,18,4,9242,4492,513,250,49
C_1095,65,2,52179,9117,803,140,17
C_1096,4,2,8450,2906,2113,726,34
C_1097,6,4,5125,502,854,84,10
C_1098,63,2,23461,4499,372,71,19
C_1099,20,2,29954,9425,1498,471,31
C_11,13,4,4657,356,358,27,8
C_110,73,4,63449,11543,869,158,18
C_1100,22,4,17611,3574,801,162,20
C_1101,12,4,2071,654,173,54,32
C_1102,55,4,14441,3253,263,59,23
C_1103,68,4,179267,132643,2636,1951,74
C_1104,2,2,700,421,350,210,60
C_1105,4,4,3567,170,892,42,5
C_1106,32,4,20755,1878,649,59,9
C_1107,10,2,5965,2809,596,281,47
C_1108,49,4,23555,3682,481,75,16
C_1109,14,2,2101,443,150,32,21
C_111,5,2,11185,2507,2237,501,22
C_1110,12,4,9184,1614,765,135,18
C_1111,65,2,42410,8871,652,136,21
C_1112,4,2,2270,658,568,165,29
C_1113,4,2,2270,658,568,165,29
C_1114,1,2,392,71,392,71,18
C_1115,6,2,3209,550,535,92,17
C_1116,3,2,4041,210,1347,70,5
C_1117,2,2,2835,963,1418,482,34
C_1118,8,4,8970,1052,1121,131,12
C_1119,7,4,1389,224,198,32,16
C_112,53,4,43359,7246,818,137,17
C_1120,1,2,1530,490,1530,490,32
C_1121,11,4,10166,1509,924,137,15
C_1122,31,4,7765,1023,250,33,13
C_1123,40,4,10429,1385,261,35,13
C_1124,30,2,6229,874,208,29,14
C_1125,1,2,63,0,63,0,1
C_1126,112,4,87165,19953,778,178,23
C_1127,45,4,8172,1432,182,32,18
C_1128,26,4,17750,2646,683,102,15
C_1129,12,2,7816,207,651,17,3
C_113,18,4,5658,1868,314,104,33
C_1130,10,4,13550,2135,1355,213,16
C_1131,5,2,3951,1376,790,275,35
C_1132,4,4,2297,355,574,89,15
C_1133,5,2,1930,285,386,57,15
C_1134,40,4,16313,1473,408,37,9
C_1135,28,4,8355,1384,298,49,17
C_1136,4,2,4588,454,1147,113,10
C_1137,9,4,3889,1011,432,112,26
C_1138,3,2,5604,1109,1868,370,20
C_1139,18,4,35822,2435,1990,135,7
C_114,6,2,3749,719,625,120,19
C_1140,28,4,28432,5659,1015,202,20
C_1141,29,4,32322,4734,1115,163,15
C_1142,9,4,6128,1067,681,119,17
C_1143,53,4,56062,8252,1058,156,15
C_1144,6,2,16308,1778,2718,296,11
C_1145,14,4,15727,2168,1123,155,14
C_1146,9,2,6127,1820,681,202,30
C_1147,24,4,41227,6039,1718,252,15
C_1148,17,4,5742,911,338,54,16
C_1149,56,4,23570,6044,421,108,26
C_115,15,4,3593,996,240,66,28
C_1150,8,2,3421,294,428,37,9
C_1151,25,4,15004,2752,600,110,18
C_1152,2,2,1421,276,710,138,19
C_1153,5,2,4789,779,958,156,16
C_1154,9,4,14278,1097,1586,122,8
C_1155,13,2,15445,1480,1188,114,10
C_1156,5,2,8190,4642,1638,928,57
C_1157,107,4,141023,22982,1318,215,16
C_1158,3,4,1710,157,570,52,9
C_1159,52,4,75463,12388,1451,238,16
C_116,116,4,58236,9462,502,82,16
C_1160,6,2,31360,4645,5227,774,15
C_1161,9,4,6204,936,689,104,15
C_1162,20,4,25289,4673,1264,234,18
C_1163,2,2,859,81,429,41,9
C_1164,54,4,29696,5030,550,93,17
C_1165,1,2,5418,4182,5418,4182,77
C_1166,18,4,15956,2769,886,154,17
C_1167,17,4,14484,1380,852,81,10
C_1168,3,2,550,171,183,57,31
C_1169,8,2,5663,800,708,100,14
C_117,5,2,2464,752,493,150,31
C_1170,59,4,100877,10894,1710,185,11
C_1171,38,4,18283,4403,481,116,24
C_1172,27,4,28338,4974,1050,184,18
C_1173,10,4,2548,622,255,62,24
C_1174,1,2,393,124,393,124,32
C_1175,39,4,43365,8447,1112,217,19
C_1176,26,4,28598,5078,1100,195,18
C_1177,1,2,3314,1081,3314,1081,33
C_1178,13,2,2744,401,211,31,15
C_1179,4,4,8921,2079,2230,520,23
C_118,35,4,97278,24449,2779,699,25
C_1180,7,4,14339,3012,2048,430,21
C_1181,102,2,129689,33119,1271,325,26
C_1182,20,4,17751,6475,888,324,36
C_1183,1,2,813,188,813,188,23
C_1184,26,4,26195,5435,1007,209,21
C_1185,17,4,14482,9910,852,583,68
C_1186,5,2,898,88,180,18,10
C_1187,66,4,23670,3740,359,57,16
C_1188,5,2,977,123,195,25,13
C_1189,60,4,27331,6835,456,114,25
C_119,53,2,65631,11843,1238,223,18
C_1190,3,2,5145,1200,1715,400,23
C_1191,3,4,461,101,154,34,22
C_1192,7,2,4036,1057,577,151,26
C_1193,39,4,9488,1613,243,41,17
C_1194,20,2,5116,806,256,40,16
C_1195,40,4,10211,1502,255,38,15
C_1196,25,4,6030,933,241,37,15
C_1197,21,4,16754,1849,798,88,11
C_1198,59,4,26232,5959,445,101,23
C_1199,4,2,1469,110,367,27,7
C_12,28,4,112905,8471,4032,303,8
C_120,24,4,19119,2246,797,94,12
C_1200,20,4,16495,5457,825,273,33
C_1201,58,4,52468,12752,905,220,24
C_1202,43,4,7412,2213,172,51,30
C_1203,7,4,3949,633,564,90,16
C_1204,16,2,13328,1309,833,82,10
C_1205,15,4,5331,558,355,37,10
C_1206,1,2,1740,376,1740,376,22
C_1207,13,4,5663,862,436,66,15
C_1208,27,4,19293,4251,715,157,22
C_1209,41,4,67821,14907,1654,364,22
C_121,13,4,11226,1837,864,141,16
C_1210,5,2,5943,1917,1189,383,32
C_1211,19,4,8730,718,459,38,8
C_1212,3,2,266,62,89,21,23
C_1213,16,4,46012,1660,2876,104,4
C_1214,11,2,7867,1366,715,124,17
C_1215,7,4,5296,459,757,66,9
C_1216,2,2,2752,231,1376,115,8
C_1218,27,4,24202,5263,896,195,22
