#cliente,Gama_Productos,rango_precio,Facturacion,Margen_Bruto,Facturacion_s_#Producto,Margen_s_#Producto,Margen_s_Facturacion
C_1,3,3,2302,243,767,81,11
C_10,3,3,2700,214,900,71,8
C_100,23,3,126873,73973,5516,3216,58
C_1000,17,2,55172,11428,3245,672,21
C_1001,17,5,12893,2660,758,156,21
C_1002,1,3,702,213,702,213,30
C_1003,1,3,390,148,390,148,38
C_1004,21,3,12893,4498,614,214,35
C_1005,23,2,15156,2376,659,103,16
C_1006,10,2,13265,3601,1327,360,27
C_1007,10,2,5203,410,520,41,8
C_1008,27,2,10070,1651,373,61,16
C_1009,35,2,531098,50678,15174,1448,10
C_101,17,3,3324,803,196,47,24
C_1010,20,3,26590,7371,1330,369,28
C_1011,43,2,171062,27834,3978,647,16
C_1012,10,2,10728,1182,1073,118,11
C_1013,23,2,249929,34077,10866,1482,14
C_1014,27,2,36696,7743,1359,287,21
C_1015,7,2,3388,412,484,59,12
C_1016,54,2,170048,38327,3149,710,23
C_1017,7,2,5402,1233,772,176,23
C_1018,3,3,2080,747,693,249,36
C_1019,24,2,20551,2603,856,108,13
C_102,15,2,114785,21506,7652,1434,19
C_1020,13,2,23565,3364,1813,259,14
C_1021,6,5,2324,375,387,63,16
C_1022,4,3,17430,2391,4358,598,14
C_1023,21,3,27356,5628,1303,268,21
C_1024,13,2,4451,1295,342,100,29
C_1025,24,2,15767,2373,657,99,15
C_1026,4,2,1407,379,352,95,27
C_1027,17,5,7328,1644,431,97,22
C_1028,10,2,8899,822,890,82,9
C_1029,13,3,3022,879,232,68,29
C_103,7,5,39694,12158,5671,1737,31
C_1030,7,2,6978,1607,997,230,23
C_1031,2,5,375,55,188,28,15
C_1032,16,3,14387,3993,899,250,28
C_1033,31,2,29014,8136,936,262,28
C_1034,13,2,68323,5590,5256,430,8
C_1035,12,5,24391,4317,2033,360,18
C_1036,1,3,4400,1157,4400,1157,26
C_1037,2,5,687,80,344,40,12
C_1038,26,2,57540,7638,2213,294,13
C_1039,4,5,4060,1485,1015,371,37
C_104,25,2,17153,1407,686,56,8
C_1040,1,3,2280,579,2280,579,25
C_1041,1,3,240,60,240,60,25
C_1042,17,5,20298,5582,1194,328,27
C_1043,2,5,860,118,430,59,14
C_1044,11,2,7791,1228,708,112,16
C_1045,46,3,48248,10665,1049,232,22
C_1046,11,5,16073,2567,1461,233,16
C_1047,1,3,996,249,996,249,25
C_1048,3,3,7574,3143,2525,1048,41
C_1049,15,2,9795,3699,653,247,38
C_105,17,2,18259,2363,1074,139,13
C_1050,7,2,57678,6846,8240,978,12
C_1051,3,2,1607,257,536,86,16
C_1052,21,3,27621,5769,1315,275,21
C_1053,7,3,4955,1244,708,178,25
C_1054,8,2,38542,4123,4818,515,11
C_1055,3,3,5360,2328,1787,776,43
C_1056,3,2,2150,492,717,164,23
C_1057,3,2,2150,492,717,164,23
C_1058,3,2,3240,779,1080,260,24
C_1059,3,2,2150,492,717,164,23
C_106,40,3,202467,67823,5062,1696,33
C_1060,4,2,2420,554,605,139,23
C_1061,12,3,5311,1664,443,139,31
C_1062,5,2,32633,6450,6527,1290,20
C_1063,9,2,20078,10119,2231,1124,50
C_1064,6,3,541,139,90,23,26
C_1065,10,2,59520,19298,5952,1930,32
C_1066,1,2,1160,778,1160,778,67
C_1067,1,2,4050,14,4050,14,0
C_1068,4,5,9108,2172,2277,543,24
C_1069,3,2,5504,1260,1835,420,23
C_107,17,2,18408,2862,1083,168,16
C_1070,18,2,140609,13328,7812,740,9
C_1071,35,2,24062,6065,687,173,25
C_1072,19,2,18905,4101,995,216,22
C_1073,1,2,281,91,281,91,33
C_1074,2,5,40200,5176,20100,2588,13
C_1075,6,5,9492,947,1582,158,10
C_1076,13,2,5202,921,400,71,18
C_1077,1,2,990,235,990,235,24
C_1078,31,2,33128,5600,1069,181,17
C_1079,13,3,9338,2374,718,183,25
C_108,23,2,90784,27522,3947,1197,30
C_1080,8,3,6294,1916,787,240,30
C_1081,5,2,2320,655,464,131,28
C_1082,16,2,7009,894,438,56,13
C_1083,15,3,24995,7105,1666,474,28
C_1084,1,3,1440,432,1440,432,30
C_1085,6,5,2655,329,443,55,12
C_1086,5,3,2829,500,566,100,18
C_1087,13,2,2353,252,181,19,11
C_1088,5,2,5693,1698,1139,340,30
C_1089,1,2,450,2,450,2,0
C_109,20,3,12737,2190,637,110,17
C_1090,25,2,11499,1806,460,72,16
C_1091,15,2,55730,8413,3715,561,15
