#cliente,Gama_Productos,rango_precio,Facturacion,Margen_Bruto,Facturacion_s_#Producto,Margen_s_Facturacion
C_1,3,5,2302,243,767,11
C_10,3,4,2700,214,900,8
C_100,23,3,126873,73973,5516,58
C_1000,17,1,55172,11428,3245,21
C_1001,17,4,12893,2660,758,21
C_1002,1,2,702,213,702,30
C_1003,1,2,390,148,390,38
C_1004,21,3,12893,4498,614,35
C_1005,23,1,15156,2376,659,16
C_1006,10,5,13265,3601,1327,27
C_1007,10,1,5203,410,520,8
C_1008,27,1,10070,1651,373,16
C_1009,35,1,531098,50678,15174,10
C_101,17,4,3324,803,196,24
C_1010,20,4,26590,7371,1330,28
C_1011,43,5,171062,27834,3978,16
C_1012,10,2,10728,1182,1073,11
C_1013,23,1,249929,34077,10866,14
C_1014,27,3,36696,7743,1359,21
C_1015,7,3,3388,412,484,12
C_1016,54,1,170048,38327,3149,23
C_1017,7,5,5402,1233,772,23
C_1018,3,4,2080,747,693,36
C_1019,24,2,20551,2603,856,13
C_102,15,1,114785,21506,7652,19
C_1020,13,2,23565,3364,1813,14
C_1021,6,5,2324,375,387,16
C_1022,4,5,17430,2391,4358,14
C_1023,21,4,27356,5628,1303,21
C_1024,13,1,4451,1295,342,29
C_1025,24,1,15767,2373,657,15
C_1026,4,1,1407,379,352,27
C_1027,17,4,7328,1644,431,22
C_1028,10,1,8899,822,890,9
C_1029,13,3,3022,879,232,29
C_103,7,4,39694,12158,5671,31
C_1030,7,1,6978,1607,997,23
C_1031,2,5,375,55,188,15
C_1032,16,3,14387,3993,899,28
C_1033,31,3,29014,8136,936,28
C_1034,13,2,68323,5590,5256,8
C_1035,12,4,24391,4317,2033,18
C_1036,1,4,4400,1157,4400,26
C_1037,2,1,687,80,344,12
C_1038,26,1,57540,7638,2213,13
C_1039,4,3,4060,1485,1015,37
C_104,25,1,17153,1407,686,8
C_1040,1,2,2280,579,2280,25
C_1041,1,2,240,60,240,25
C_1042,17,3,20298,5582,1194,27
C_1043,2,1,860,118,430,14
C_1044,11,5,7791,1228,708,16
C_1045,46,3,48248,10665,1049,22
C_1046,11,1,16073,2567,1461,16
C_1047,1,2,996,249,996,25
C_1048,3,3,7574,3143,2525,41
C_1049,15,1,9795,3699,653,38
C_105,17,2,18259,2363,1074,13
C_1050,7,1,57678,6846,8240,12
C_1051,3,1,1607,257,536,16
C_1052,21,4,27621,5769,1315,21
C_1053,7,5,4955,1244,708,25
C_1054,8,1,38542,4123,4818,11
C_1055,3,3,5360,2328,1787,43
C_1056,3,1,2150,492,717,23
C_1057,3,1,2150,492,717,23
C_1058,3,1,3240,779,1080,24
C_1059,3,1,2150,492,717,23
C_106,40,3,202467,67823,5062,33
C_1060,4,1,2420,554,605,23
C_1061,12,4,5311,1664,443,31
C_1062,5,5,32633,6450,6527,20
C_1063,9,1,20078,10119,2231,50
C_1064,6,4,541,139,90,26
C_1065,10,1,59520,19298,5952,32
C_1066,1,3,1160,778,1160,67
C_1067,1,3,4050,14,4050,1
C_1068,4,2,9108,2172,2277,24
C_1069,3,2,5504,1260,1835,23
C_107,17,3,18408,2862,1083,16
C_1070,18,1,140609,13328,7812,9
C_1071,35,1,24062,6065,687,25
C_1072,19,5,18905,4101,995,22
C_1073,1,1,281,91,281,33
C_1074,2,1,40200,5176,20100,13
C_1075,6,1,9492,947,1582,10
C_1076,13,5,5202,921,400,18
C_1077,1,2,990,235,990,24
C_1078,31,2,33128,5600,1069,17
C_1079,13,1,9338,2374,718,25
C_108,23,2,90784,27522,3947,30
C_1080,8,4,6294,1916,787,30
C_1081,5,5,2320,655,464,28
C_1082,16,1,7009,894,438,13
C_1083,15,4,24995,7105,1666,28
C_1084,1,2,1440,432,1440,30
C_1085,6,2,2655,329,443,12
C_1086,5,4,2829,500,566,18
C_1087,13,1,2353,252,181,11
C_1088,5,1,5693,1698,1139,30
C_1089,1,1,450,2,450,1
C_109,20,3,12737,2190,637,17
C_1090,25,2,11499,1806,460,16
C_1091,15,3,55730,8413,3715,15
C_1092,10,1,19002,3715,1900,20
