ID Cliente,ID Producto,Precio Total
C_195,P_38,6.300
C_197,P_26,120
C_197,P_312,600
C_197,P_351,490
C_200,P_312,310
C_372,P_432,540
C_2478,P_37,68
C_2478,P_76,130
C_2478,P_419,7
C_110,P_38,304
C_110,P_185,860
C_241,P_310,438
C_241,P_344,55
C_1405,P_185,162
C_1405,P_350,75
C_1173,P_388,720
C_1875,P_169,386
C_1796,P_185,348
C_2426,P_40,238
C_2426,P_221,375
C_2426,P_236,57
C_2426,P_335,750
C_2600,P_244,180
C_2876,P_8,169
C_2877,P_190,68
C_315,P_310,438
C_315,P_344,55
C_458,P_26,70
C_2878,P_185,664
C_2879,P_289,91
C_2879,P_335,260
C_1711,P_26,120
C_1767,P_92,2.663
C_75,P_310,240
C_1769,P_76,1.220
C_1303,P_13,165
C_707,P_41,134
C_707,P_407,78
C_211,P_26,120
C_211,P_388,480
C_1989,P_190,164
C_1989,P_263,165
C_1079,P_419,25
C_2880,P_41,390
C_2880,P_274,3
C_2880,P_408,240
C_2881,P_185,1.440
C_1516,P_151,135
C_730,P_432,277
C_503,P_23,1.320
C_239,P_253,630
C_2882,P_97,90
C_2882,P_185,405
C_2882,P_419,9
C_2813,P_308,1.470
C_1473,P_41,1.830
C_1473,P_208,3.600
C_1473,P_236,1.250
C_1473,P_419,715
C_2883,P_388,65
C_2657,P_190,180
C_2657,P_419,8
C_525,P_41,122
C_525,P_236,73
C_525,P_350,85
C_525,P_419,7
C_1408,P_335,380
C_1793,P_210,220
C_269,P_322,78
C_269,P_335,135
C_956,P_335,126
C_1045,P_56,213
C_1545,P_76,552
C_2884,P_39,625
C_2038,P_263,2.220
C_2038,P_284,390
C_2038,P_312,2.250
C_2038,P_408,990
C_2876,P_8,68
C_2885,P_211,90
C_2764,P_41,605
C_442,P_173,200
C_1052,P_56,355
C_449,P_284,60
C_449,P_310,660
C_2886,P_163,432
C_2467,P_190,186
C_2467,P_335,125
C_2887,P_26,104
C_2887,P_76,384
C_2887,P_284,260
C_2305,P_421,190
C_2888,P_13,330
C_1560,P_310,700
C_1755,P_39,625
C_2889,P_213,88
C_1764,P_419,14
C_1016,P_8,150
C_1214,P_220,524
C_1214,P_284,279
C_1214,P_335,255
C_1500,P_263,170
C_1500,P_284,70
C_2890,P_26,156
C_2890,P_76,256
C_2890,P_284,260
C_2891,P_335,4.780
C_78,P_289,190
C_78,P_308,475
C_78,P_335,1.400
C_2403,P_70,540
C_2721,P_185,7.400
C_2892,P_235,338
C_2892,P_408,363
C_2892,P_419,31
C_493,P_41,1.027
C_493,P_236,500
C_493,P_335,570
C_493,P_380,757
C_355,P_41,121
C_355,P_57,187
C_355,P_185,79
C_355,P_350,60
C_1376,P_38,62
C_1376,P_190,189
C_1376,P_419,7
C_2811,P_297,15.810
C_629,P_23,625
C_629,P_165,456
C_629,P_185,2.652
C_629,P_335,4.950
C_629,P_350,300
C_1724,P_41,605
C_1724,P_185,1.200
C_1724,P_419,20
C_1669,P_85,15.450
C_1669,P_92,11.357
C_1669,P_185,7.488
C_1669,P_190,6.240
C_520,P_263,185
C_520,P_284,70
C_957,P_8,420
C_2709,P_190,244
C_1795,P_229,3.648
C_539,P_126,6.408
C_539,P_244,1.600
C_539,P_288,1.103
C_539,P_335,1.140
C_539,P_421,6.942
C_42,P_76,256
C_1678,P_185,858
C_1678,P_419,20
C_140,P_185,292
C_966,P_41,128
C_966,P_97,45
C_966,P_185,252
C_966,P_236,63
C_284,P_419,25
C_2438,P_41,124
C_2438,P_185,480
C_2438,P_419,12
C_1423,P_220,0
C_1423,P_284,0
C_1423,P_419,0
C_2030,P_56,516
C_2893,P_185,1.056
C_2893,P_419,20
C_2114,P_8,180
C_2114,P_185,89
C_159,P_38,210
C_159,P_97,80
C_159,P_185,858
C_159,P_284,360
C_2894,P_185,360
C_2894,P_335,713
C_2895,P_190,268
C_1437,P_289,585
C_1278,P_335,500
C_991,P_220,6.600
C_991,P_289,1.575
C_991,P_364,8.600
C_2896,P_42,2.100
C_2896,P_57,3.000
C_570,P_41,1.617
C_570,P_76,355
C_570,P_185,2.568
C_570,P_236,875
C_570,P_244,90
C_570,P_263,1.050
C_570,P_335,375
C_1833,P_235,270
C_1833,P_408,290
C_1833,P_419,16
C_1834,P_235,1.350
C_1834,P_408,1.450
C_1834,P_419,124
C_2847,P_335,750
C_1702,P_244,150
C_1008,P_344,43
C_2897,P_97,128
C_2897,P_185,480
C_2897,P_335,945
C_2898,P_57,5.240
C_2898,P_190,9.150
C_2898,P_270,3.455
C_2898,P_350,1.000
C_1011,P_41,214
C_1011,P_76,213
C_1011,P_185,1.383
C_1011,P_236,375
C_1011,P_244,60
C_794,P_185,172
C_794,P_310,440
C_794,P_419,6
C_1766,P_174,150
C_196,P_41,143
C_196,P_53,1.208
C_196,P_407,80
C_2332,P_419,125
C_2899,P_264,4.600
C_586,P_26,254
C_586,P_263,1.825
C_586,P_284,260
C_1647,P_190,2.070
C_211,P_41,120
C_211,P_185,328
C_211,P_284,60
C_211,P_388,375
C_2900,P_185,630
C_2432,P_8,160
C_2901,P_8,193
C_232,P_11,330
C_2782,P_38,180
C_2782,P_312,128
C_2902,P_53,1.920
C_255,P_185,160
C_2903,P_335,625
C_520,P_185,184
C_530,P_190,1.035
C_530,P_284,264
C_957,P_297,1.436
C_412,P_76,64
C_2111,P_76,1.220
C_539,P_8,320
C_1678,P_8,288
C_2642,P_185,23.700
C_2733,P_8,140
C_1949,P_413,240
C_1950,P_77,1.200
C_1950,P_348,3.300
C_426,P_185,239
C_2904,P_42,7.200
C_555,P_76,280
C_439,P_76,64
C_1437,P_8,450
C_2304,P_163,373
C_2304,P_335,550
C_2304,P_407,314
C_2304,P_419,58
C_2905,P_42,236
C_2905,P_185,672
C_2905,P_289,230
C_2887,P_185,553
C_2906,P_77,560
C_2906,P_348,935
C_326,P_26,248
C_792,P_284,66
C_2329,P_190,186
C_2329,P_335,252
C_2177,P_60,14.760
C_2177,P_163,1.397
C_2177,P_364,3.920
C_2177,P_417,810
C_2907,P_220,1.575
C_2907,P_284,975
C_2907,P_419,50
C_2471,P_41,840
C_2471,P_185,2.132
C_2471,P_284,480
C_2471,P_388,2.313
C_2908,P_41,124
C_2908,P_185,240
C_2908,P_190,600
C_2909,P_41,1.116
C_2909,P_185,800
C_2909,P_190,3.000
C_2890,P_185,553
C_2402,P_97,320
C_2402,P_185,600
C_2402,P_350,300
C_2402,P_419,14
C_1376,P_38,0
C_1376,P_190,0
C_1376,P_419,0
C_2476,P_284,65
C_2291,P_97,120
C_2291,P_185,780
C_2291,P_236,60
C_2291,P_335,875
C_2291,P_419,7
C_2910,P_185,237
C_2910,P_335,260
C_750,P_97,85
C_750,P_419,7
C_525,P_335,260
C_957,P_8,720
C_2283,P_190,1.525
C_2026,P_185,264
C_2911,P_41,136
C_2911,P_185,176
C_2911,P_407,114
C_2912,P_41,136
C_2912,P_185,176
C_2912,P_407,114
C_1886,P_41,952
C_1886,P_190,1.932
C_2913,P_26,70
C_1620,P_40,244
C_2171,P_185,240
C_2171,P_407,80
C_1827,P_97,45
C_1827,P_190,256
C_2838,P_97,160
C_2838,P_185,225
C_2838,P_350,150
C_2914,P_190,5.800
C_337,P_221,120
C_337,P_284,70
C_1767,P_92,2.663
C_1065,P_41,1.725
C_197,P_26,240
C_197,P_53,420
C_197,P_208,120
C_197,P_244,120
C_2527,P_52,63
C_2527,P_126,720
C_2527,P_145,289
C_2527,P_310,100
C_2527,P_388,1.000
C_2527,P_389,50
C_1303,P_13,495
C_2722,P_126,1.715
C_2722,P_163,362
C_489,P_335,135
C_489,P_397,636
C_489,P_419,7
C_2915,P_312,78
C_2916,P_41,134
C_2916,P_244,140
C_2916,P_407,78
C_615,P_185,246
C_615,P_284,60
C_615,P_388,260
C_615,P_419,44
C_1033,P_185,474
C_1033,P_430,228
C_1913,P_236,474
C_1913,P_408,135
C_827,P_8,786
C_827,P_110,37
C_119,P_185,1.900
C_2785,P_185,553
C_264,P_314,153
C_410,P_401,45
C_2917,P_245,203
C_2917,P_335,390
C_2917,P_421,540
C_2324,P_185,880
C_2324,P_221,490
C_2324,P_284,132
C_41,P_314,160
C_2918,P_41,1.190
C_2918,P_185,1.850
C_2919,P_41,1.190
C_2919,P_185,1.850
C_546,P_23,2.940
C_546,P_163,713
C_546,P_185,4.940
C_546,P_236,1.294
C_546,P_244,700
C_2920,P_408,284
C_287,P_26,390
C_287,P_185,3.750
C_1608,P_310,120
C_1608,P_408,160
C_1608,P_419,15
C_2228,P_97,129
C_2228,P_190,378
C_2228,P_335,810
C_2734,P_123,144
C_2734,P_126,1.680
C_2734,P_163,362
C_1127,P_185,82
C_1127,P_263,165
C_1127,P_284,60
C_2921,P_26,60
C_1490,P_308,480
C_1490,P_382,195
C_1490,P_391,280
C_56,P_41,910
C_56,P_185,2.214
C_56,P_408,435
C_2922,P_185,243
C_2922,P_335,375
C_2232,P_335,143
C_693,P_308,1.020
C_1009,P_185,1.840
C_2923,P_163,893
C_2923,P_312,1.656
C_2471,P_41,960
C_2471,P_185,2.460
C_2471,P_284,540
C_2471,P_388,2.688
C_584,P_76,408
C_2064,P_185,609
C_1367,P_335,130
C_1989,P_76,132
C_1989,P_165,210
C_1989,P_185,164
C_1989,P_190,164
C_600,P_82,209
C_600,P_335,135
C_1572,P_126,500
C_1572,P_297,840
C_2530,P_56,142
C_359,P_190,10
C_361,P_310,552
C_2279,P_41,595
C_2279,P_157,400
C_2279,P_185,1.176
C_2279,P_208,280
C_377,P_244,140
C_377,P_245,70
C_377,P_419,16
C_2000,P_185,553
C_2924,P_211,84
C_1239,P_23,625
C_1239,P_190,690
C_1239,P_221,280
C_1239,P_236,258
C_1240,P_23,625
C_1240,P_190,690
C_1240,P_221,280
C_1240,P_236,258
C_240,P_41,1.620
C_240,P_200,3.341
C_2925,P_185,800
C_2152,P_388,195
C_2926,P_185,370
C_122,P_126,480
C_122,P_151,120
C_122,P_173,170
C_122,P_248,890
C_122,P_245,140
C_523,P_23,1.125
C_523,P_41,544
C_523,P_190,1.380
C_261,P_41,259
C_261,P_163,1.734
C_261,P_185,4.032
C_261,P_235,243
C_268,P_41,396
C_268,P_97,135
C_268,P_185,240
C_268,P_297,209
C_2163,P_185,80
C_2283,P_34,1.880
C_2283,P_41,504
C_2283,P_97,4.200
C_2283,P_190,1.525
C_2283,P_253,640
C_2283,P_407,373
C_2927,P_163,5.235
C_2437,P_56,426
C_2437,P_350,350
C_280,P_185,790
C_280,P_236,57
C_139,P_76,137
C_2584,P_335,130
C_2584,P_421,200
C_311,P_297,173
C_1747,P_214,1.600
C_1747,P_284,180
C_453,P_41,630
C_453,P_350,450
C_2914,P_41,4.329
C_2914,P_40,111
C_2928,P_264,522
C_1010,P_38,84
C_2471,P_41,840
C_2471,P_185,2.296
C_2471,P_284,540
C_2471,P_388,2.625
C_195,P_163,5.832
C_195,P_312,6.120
C_1140,P_431,2.296
C_704,P_23,345
C_2929,P_190,414
C_2929,P_335,450
C_715,P_310,105
C_2930,P_50,920
C_1989,P_185,164
C_1991,P_185,5.840
C_218,P_421,210
C_1572,P_297,80
C_922,P_56,700
C_922,P_173,450
C_922,P_185,1.530
C_1232,P_221,320
C_1232,P_284,66
C_2396,P_8,17
C_2396,P_110,1
C_110,P_263,700
C_110,P_335,2.240
C_2931,P_16,715
C_2931,P_39,465
C_2931,P_263,813
C_1942,P_185,340
C_1099,P_76,280
C_2932,P_190,67
C_530,P_221,560
C_530,P_284,132
C_957,P_8,1.560
